Job Title,Industry,AI Impact,Tasks,AI models,AI_Workload_Ratio,Required Education,Median Salary (USD),Expected Openings (2030),AI Impact Original,Experience Required (Years),Automation Risk (%)
Communications Manager,General Business,98,365,2546,0.143362137,Master's Degree,120000,1027,98%,5,64.68
Data Collector,General Business,95,299,2148,0.139199255,High School Diploma,35000,1033,95%,3,60.79
Data Entry,General Business,95,325,2278,0.142669008,High School Diploma,35000,1078,95%,0,61.65
Mail Clerk,Administrative & Office Support,95,193,1366,0.141288433,High School Diploma,31500,907,95%,0,56.52
Compliance Officer,Administrative & Office Support,92,194,1369,0.141709277,Master's Degree,120000,1114,92%,8,55.05
Chief Executive Officer (CEO),Administrative & Office Support,91,153,1135,0.134801762,Master's Degree,120000,1154,91%,8,53.06
Therapist,Healthcare,90,114,983,0.115971516,High School Diploma,35000,1734,90%,3,51.27
Chief Strategy Officer,Administrative & Office Support,90,184,1284,0.143302181,Master's Degree,120000,1171,90%,8,53.62
Admin,Administrative & Office Support,90,253,2014,0.125620655,High School Diploma,35000,1099,90%,3,57.01
General Clerk,Administrative & Office Support,90,242,1903,0.12716763,High School Diploma,31500,941,90%,0,56.48
Mail Handler,General Business,90,188,1350,0.139259259,High School Diploma,35000,961,90%,3,53.87
Data Clerk,Administrative & Office Support,90,317,2258,0.140389725,High School Diploma,31500,917,90%,0,58.95
Data Entry Clerk,Administrative & Office Support,90,328,2305,0.142299349,High School Diploma,31500,944,90%,0,59.29
Data Entry Operator,Manufacturing & Labor,90,329,2311,0.142362614,Associate Degree,40500,791,90%,0,59.33
Data Entry Specialist,General Business,90,334,2358,0.141645462,Bachelor's Degree,78000,1189,90%,0,59.56
Medical Transcriptionist,Healthcare,90,189,1265,0.149407115,Associate Degree,45000,1896,90%,3,53.68
Street Sweeper,General Business,90,3,82,0.036585366,High School Diploma,35000,911,90%,3,45.7
Supply Clerk,Administrative & Office Support,90,115,901,0.12763596,High School Diploma,31500,1098,90%,0,51.11
Warehouse Worker,Logistics & Supply Chain,90,68,607,0.112026359,High School Diploma,31500,1183,90%,3,49.24
Web Search Evaluator,General Business,90,243,1599,0.151969981,High School Diploma,35000,1038,90%,3,55.67
Development Manager,General Business,89,217,1558,0.13928113,Master's Degree,120000,1089,89%,5,54.52
Delivery Driver,Logistics & Supply Chain,88,20,309,0.064724919,High School Diploma,31500,1122,88%,3,46.03
Chief Security Officer,Information Technology,88,142,1116,0.127240143,Master's Degree,120000,1675,88%,8,51.26
File Clerk,Administrative & Office Support,88,228,1797,0.12687813,High School Diploma,31500,969,88%,0,54.9
Mail Processing,General Business,88,189,1336,0.141467066,High School Diploma,35000,1096,88%,3,52.86
Director Of Operations,General Business,87,198,1397,0.141732283,Master's Degree,120000,1115,87%,8,52.7
Direct Support Professional,General Business,86,117,1018,0.114931238,High School Diploma,35000,990,86%,2,49.43
Chief Communications Officer,Administrative & Office Support,85,284,2118,0.134088763,Master's Degree,120000,1121,85%,8,55.41
Administrative Clerk,Administrative & Office Support,85,270,2070,0.130434783,High School Diploma,31500,992,85%,0,55
Executive Assistant,Administrative & Office Support,85,276,2112,0.130681818,Master's Degree,120000,1110,85%,0,55.24
General Office Clerk,Administrative & Office Support,85,245,1912,0.128138075,High School Diploma,31500,921,85%,0,54.06
Transcriber,General Business,85,205,1359,0.15084621,High School Diploma,35000,1052,85%,3,51.76
Sql Programmer,Information Technology,85,179,1665,0.107507508,Bachelor's Degree,60000,1977,85%,3,52.03
Vba Developer,Information Technology,85,191,1672,0.11423445,Bachelor's Degree,78000,1620,85%,2,52.3
Medical Scribe,Healthcare,85,202,1696,0.119103774,Associate Degree,45000,2165,85%,3,52.59
Special Agent,General Business,85,45,462,0.097402597,High School Diploma,35000,935,85%,3,45.75
Purchasing Clerk,Administrative & Office Support,85,180,1306,0.137825421,High School Diploma,31500,973,85%,0,51.08
Bricklayer,General Business,85,3,30,0.1,High School Diploma,35000,1039,85%,3,43.65
Telemarketer,General Business,85,179,1281,0.139734582,High School Diploma,35000,1064,85%,3,51
Bakery Manager,General Business,84,97,804,0.120646766,Master's Degree,120000,999,84%,5,47.44
Banquet Manager,General Business,83,99,802,0.123441397,Master's Degree,120000,1168,83%,5,46.99
Clerk Typist,Administrative & Office Support,83,263,1986,0.132426989,High School Diploma,31500,1081,83%,0,53.63
Assistant,Administrative & Office Support,82,240,1600,0.15,Associate Degree,40500,1181,82%,0,51.61
Business Relationship Manager,Sales & Marketing,82,194,1467,0.132242672,Master's Degree,120000,1159,82%,5,50.3
Distribution Manager,Logistics & Supply Chain,80,198,1436,0.137883008,Master's Degree,120000,1106,80%,5,49.3
Administrative Assistant,Administrative & Office Support,80,286,2155,0.132714617,Associate Degree,40500,1052,80%,0,53.06
Administrative Secretary,Administrative & Office Support,80,268,2076,0.129094412,High School Diploma,35000,1008,80%,3,52.48
Clerical Assistant,Administrative & Office Support,80,265,2004,0.132235529,Associate Degree,40500,1091,80%,0,52.22
Executive Administrative Assistant,Administrative & Office Support,80,279,2124,0.131355932,Master's Degree,120000,1063,80%,0,52.83
Order Filler,General Business,80,133,1021,0.130264447,High School Diploma,35000,930,80%,3,46.82
Records Clerk,Administrative & Office Support,80,222,1784,0.124439462,High School Diploma,31500,1016,80%,0,50.74
